"State","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Percentage Of Patients With Hgb<10 g/dL","Percentage of patients with Hgb>12 g/dL","SEDR - Better Than Expected (STATE)","SEDR - As Expected (STATE)","SEDR - Worse Than Expected (STATE)","ED30 - Better Than Expected (STATE)","ED30 - As Expected (STATE)","ED30 - Worse Than Expected (STATE)"
AK,0,9,0,1,8,0,0,8,0,1,7,1,3,6,0,98,94,,,,2,7,0,14,1,9,26,27,22,17,1,2,0,1,8,0,20,0,0,6,3,0,9,0
AL,1,168,3,3,168,4,4,165,2,0,110,15,57,102,1,97,94,97,87,96,8,146,16,11,1,8,21,27,25,19,2,65,3,3,171,2,24,0,0,167,5,2,163,3
AR,1,62,2,4,60,2,0,63,1,0,49,5,32,28,1,96,90,94,90,89,4,57,4,21,1,7,20,27,25,21,1,36,3,0,56,8,21,1,0,56,8,1,59,3
AS,0,2,0,0,2,0,0,2,0,1,1,0,0,1,0,,,,,,1,0,1,,,,,,,,0,0,1,0,1,1,,,0,0,2,0,2,0
AZ,0,118,4,0,122,2,4,113,4,0,98,4,59,62,0,97,94,97,83,100,4,117,0,16,1,8,23,29,22,17,0,85,9,0,117,7,18,0,3,110,8,5,111,5
CA,12,669,18,14,687,9,8,671,17,5,609,20,348,244,2,97,88,82,67,86,47,608,7,16,2,8,24,30,22,16,30,426,32,164,562,4,17,1,4,656,25,16,653,15
CO,0,78,1,1,77,2,2,75,0,0,52,3,20,54,0,97,90,81,75,99,10,71,0,15,1,8,24,30,23,16,5,28,0,3,79,1,21,1,0,73,5,1,72,2
CT,2,46,0,0,47,1,1,46,1,1,44,1,17,30,0,96,95,93,71,98,7,39,1,16,2,8,25,31,23,14,2,22,0,7,41,0,19,0,0,46,2,0,45,3
DC,0,20,0,0,20,0,1,18,0,0,18,0,7,11,0,96,88,91,80,94,0,19,0,13,3,9,24,30,22,16,0,12,0,0,18,2,29,0,0,19,0,0,19,0
DE,1,26,2,0,29,0,1,28,0,0,25,1,6,21,0,98,93,,50,100,0,30,0,16,1,8,25,29,24,14,1,5,0,2,28,0,19,0,0,29,0,1,28,0
FL,2,338,16,0,319,48,2,340,21,0,241,29,136,168,1,96,92,89,63,90,2,458,30,20,3,8,24,31,22,16,4,189,9,3,497,11,24,0,0,344,6,19,331,3
