"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","Survey response rate"
AK,14,13,73,85,19,17,64,80,17,83,83,12,19,69,87,9,21,70,88,9,16,75,90,224,31
AL,19,14,67,80,20,19,61,78,22,78,78,15,25,60,84,13,26,61,85,13,21,66,86,3309,26
AR,18,15,67,81,19,20,61,78,19,81,81,13,28,59,84,12,28,60,85,13,22,65,86,1547,25
AS,,,,,,,,,,,,,,,,,,,,,,,,,0
AZ,23,16,61,77,21,20,59,77,23,77,77,19,27,54,80,15,25,60,84,16,19,65,85,3129,22
CA,19,14,67,81,17,19,64,81,21,79,79,14,25,61,84,10,23,67,87,10,19,71,88,23308,25
CO,16,15,69,83,17,20,63,80,19,81,81,14,25,61,85,11,23,66,87,11,19,70,87,1376,23
CT,20,15,65,80,19,19,62,79,20,80,80,16,25,59,84,11,25,64,87,12,21,67,87,1416,26
DC,21,13,66,79,25,20,55,74,24,76,76,14,29,57,83,17,32,51,81,19,26,55,82,490,22
DE,19,14,67,81,20,19,61,79,22,78,78,18,25,57,83,14,26,60,85,13,23,64,86,628,26
FL,19,14,67,80,18,18,64,80,21,79,79,15,25,60,84,12,24,64,86,12,21,67,87,9929,24
GA,20,14,66,80,22,19,59,77,24,76,76,15,27,58,84,15,29,56,83,15,24,61,84,6550,23
GU,40,17,43,63,21,18,61,78,27,73,73,33,38,29,69,13,29,58,84,12,20,68,87,303,25
HI,19,14,67,81,15,18,67,82,21,79,79,14,24,62,85,8,19,73,89,8,14,78,91,1773,30
IA,15,18,67,82,15,19,66,82,17,83,83,12,25,63,85,11,21,68,88,10,17,73,89,966,30
ID,14,15,71,85,13,20,67,83,19,81,81,11,23,66,87,7,22,71,89,7,20,73,90,445,28
IL,19,15,66,80,17,18,65,81,22,78,78,15,26,59,84,10,25,65,86,11,19,70,88,6181,25
IN,20,16,64,79,16,20,64,81,19,81,81,16,27,57,83,11,23,66,87,11,19,70,88,3447,28
KS,15,14,71,84,15,19,66,82,18,82,82,10,24,66,87,9,21,70,88,9,18,73,89,1071,29
KY,16,16,68,82,15,19,66,82,18,82,82,13,24,63,85,10,21,69,88,10,18,72,88,1938,26
LA,18,12,70,82,19,17,64,80,21,79,79,15,24,61,84,14,24,62,85,13,20,67,86,3250,24
MA,16,15,69,83,17,18,65,81,21,79,79,12,25,63,85,10,24,66,87,10,19,71,88,2234,25
MD,19,15,66,80,21,21,58,77,25,75,75,16,28,56,83,16,28,56,83,16,24,60,84,3548,25
ME,15,17,68,83,15,19,66,82,17,83,83,12,25,63,85,8,19,73,89,9,17,74,90,490,32
MI,18,15,67,81,17,19,64,81,21,79,79,14,27,59,84,10,26,64,86,10,21,69,88,5297,27
MN,15,16,69,83,15,20,65,82,18,82,82,14,28,58,84,9,26,65,87,9,19,72,89,1617,26
MO,18,14,68,81,17,19,64,81,20,80,80,14,26,60,85,12,24,64,86,12,19,69,87,2863,27
MP,22,14,64,79,23,17,60,78,22,78,78,17,25,58,84,15,26,59,84,12,15,73,89,118,37
MS,22,12,66,79,23,16,61,77,23,77,77,17,27,56,82,15,27,58,84,15,22,63,85,2347,24
MT,17,15,68,82,14,19,67,83,20,80,80,15,21,64,85,8,25,67,89,10,16,74,90,315,28
NC,20,15,65,79,21,19,60,78,21,79,79,16,28,56,83,14,26,60,84,14,22,64,85,6476,25
ND,15,16,69,83,12,17,71,86,18,82,82,11,30,59,86,5,21,74,92,6,14,80,93,245,25
NE,17,18,65,81,16,20,64,81,18,82,82,15,26,59,83,10,24,66,87,9,18,73,89,615,28
NH,21,18,61,77,15,19,66,82,19,81,81,17,26,57,82,9,21,70,88,9,20,71,89,474,32
NJ,17,15,68,82,16,18,66,82,21,79,79,12,26,62,85,9,23,68,88,9,18,73,89,4744,25
NM,22,15,63,77,21,18,61,78,22,78,78,20,27,53,81,14,22,64,86,12,19,69,88,1058,22
NV,24,16,60,75,17,19,64,80,21,79,79,21,28,51,79,11,24,65,86,12,20,68,87,1564,23
NY,19,15,66,80,18,19,63,80,23,77,77,15,28,57,83,11,26,63,86,12,21,67,87,8987,24
OH,18,15,67,81,16,18,66,82,19,81,81,14,26,60,84,10,23,67,87,10,19,71,88,5206,25
OK,16,14,70,83,17,19,64,81,19,81,81,12,23,65,87,10,24,66,87,10,19,71,89,1637,23
OR,17,17,66,81,17,22,61,79,20,80,80,15,25,60,84,12,25,63,85,13,19,68,86,1568,27
PA,18,16,66,81,16,19,65,81,20,80,80,15,27,58,83,10,23,67,87,11,19,70,88,6209,27
PR,15,16,69,83,15,19,66,82,14,86,86,13,20,67,87,11,16,73,89,11,13,76,89,2902,32
RI,15,15,70,84,12,18,70,85,19,81,81,14,25,61,86,7,15,78,91,9,14,77,91,415,28
SC,21,14,65,79,20,19,61,79,21,79,79,15,27,58,83,13,27,60,85,14,21,65,86,3255,24
SD,14,15,71,84,15,18,67,82,19,81,81,13,24,63,86,8,15,77,91,9,8,83,91,273,22
TN,22,15,63,78,18,19,63,80,19,81,81,19,26,55,81,12,25,63,86,13,21,66,87,3576,25
TX,18,14,68,82,18,18,64,80,21,79,79,14,25,61,85,11,24,65,86,11,19,70,88,15810,22
UT,18,17,65,80,14,17,69,84,17,83,83,16,27,57,82,7,19,74,89,7,15,78,91,760,26
VA,20,16,64,79,19,19,62,79,21,79,79,17,28,55,82,13,26,61,85,13,21,66,86,4564,27
VI,34,15,51,66,23,21,56,76,43,57,57,22,33,45,73,16,40,44,79,17,37,46,79,54,16
VT,20,13,67,79,10,17,73,87,18,82,82,17,25,58,81,5,17,78,92,5,13,82,93,147,30
WA,13,14,73,86,15,19,66,82,18,82,82,10,24,66,87,8,23,69,88,8,19,73,89,2411,23
WI,18,17,65,80,16,19,65,81,18,82,82,15,28,57,83,11,22,67,87,12,17,71,87,2374,27
WV,19,15,66,80,14,18,68,83,19,81,81,16,23,61,84,9,21,70,89,9,15,76,91,802,29
WY,11,13,76,87,12,19,69,84,22,78,78,5,24,71,90,6,20,74,91,6,15,79,92,117,25
